   arclength            x            y            z    VelocityX 
  0.00000000   0.30000000   0.30000000   0.30000000  20.91370166 
  0.06381240   0.33684211   0.33684211   0.33684211  21.25214305 
  0.12762480   0.37368421   0.37368421   0.37368421  21.53117317 
  0.19143719   0.41052632   0.41052632   0.41052632  21.74927948 
  0.25524959   0.44736842   0.44736842   0.44736842  21.93505168 
  0.31906199   0.48421053   0.48421053   0.48421053  22.10242635 
  0.38287439   0.52105263   0.52105263   0.52105263  22.24207333 
  0.44668679   0.55789474   0.55789474   0.55789474  22.37613404 
  0.51049919   0.59473684   0.59473684   0.59473684  22.49636840 
  0.57431158   0.63157895   0.63157895   0.63157895  22.60013543 
  0.63812398   0.66842105   0.66842105   0.66842105  22.69228287 
  0.70193638   0.70526316   0.70526316   0.70526316  22.77709366 
  0.76574878   0.74210526   0.74210526   0.74210526  22.85991539 
  0.82956118   0.77894737   0.77894737   0.77894737  22.92887285 
  0.89337357   0.81578947   0.81578947   0.81578947  22.98228283 
  0.95718597   0.85263158   0.85263158   0.85263158  23.03196246 
  1.02099837   0.88947368   0.88947368   0.88947368  23.07632576 
  1.08481077   0.92631579   0.92631579   0.92631579  23.11927785 
  1.14862317   0.96315789   0.96315789   0.96315789  23.17128055 
  1.21243557   1.00000000   1.00000000   1.00000000  23.22102761 
