   arclength            x            y            z    VelocityX 
  0.00000000   1.50000000   1.50000000   0.10000000  17.33013241 
  0.03750000   1.50000000   1.50000000   0.13750000  18.36357588 
  0.07500000   1.50000000   1.50000000   0.17500000  19.21798850 
  0.11250000   1.50000000   1.50000000   0.21250000  19.89089941 
  0.15000000   1.50000000   1.50000000   0.25000000  20.46901755 
  0.18750000   1.50000000   1.50000000   0.28750000  20.95178793 
  0.22500000   1.50000000   1.50000000   0.32500000  21.34637857 
  0.26250000   1.50000000   1.50000000   0.36250000  21.67568817 
  0.30000000   1.50000000   1.50000000   0.40000000  21.93941243 
  0.33750000   1.50000000   1.50000000   0.43750000  22.15362061 
  0.37500000   1.50000000   1.50000000   0.47500000  22.33264790 
  0.41250000   1.50000000   1.50000000   0.51250000  22.48740210 
  0.45000000   1.50000000   1.50000000   0.55000000  22.60538449 
  0.48750000   1.50000000   1.50000000   0.58750000  22.71119048 
  0.52500000   1.50000000   1.50000000   0.62500000  22.80314883 
  0.56250000   1.50000000   1.50000000   0.66250000  22.87341169 
  0.60000000   1.50000000   1.50000000   0.70000000  22.93064016 
  0.63750000   1.50000000   1.50000000   0.73750000  22.98320668 
  0.67500000   1.50000000   1.50000000   0.77500000  23.02720742 
  0.71250000   1.50000000   1.50000000   0.81250000  23.05979528 
  0.75000000   1.50000000   1.50000000   0.85000000  23.08699392 
  0.78750000   1.50000000   1.50000000   0.88750000  23.11448972 
  0.82500000   1.50000000   1.50000000   0.92500000  23.13592434 
  0.86250000   1.50000000   1.50000000   0.96250000  23.16267182 
  0.90000000   1.50000000   1.50000000   1.00000000  23.19478399 
